Chi-Squared Fit Results
Mass	Nsat	a	b	c	Chi^2	Niter	G	Q
M11	0.013680508914912019	2.3754191883275304	0.14439374396871774	0.7623799848179209	6592978515695.668	42	49826.551791845355	0.0
M12	0.25088679479075005	2.3991087595287723	0.24871448102081084	1.0027206135523945	1018777592989.1107	87	72613.50583515326	0.0
M13	4.373510796723753	2.399525243411271	0.2557467987363476	1.092006490711486	2249200619.564455	50	10864.260989801167	0.0
M14	29.134529147982065	2.4099618595651346	0.2213442937671689	2.3412724341544555	nan	100	nan	nan
M15	329.5	2.3753908047137102	0.25148345504292297	0.9987211850557083	441.59243742416066	16	82.88881498101635	0.0

Poisson Fit Results
Mass	Nsat	a	b	c	log L	Niter	G	Q
M11	0.013680508914912019	1.175622326604109	1.2008531880063424	3.62556962744749	1673240.1568994331	95	-2801.3887124929147	0.0
M12	0.25088679479075005	1.5994868181216662	0.9070675912225328	3.2615902113802617	1407027.0871032344	158	19755.083745373726	0.0
M13	4.373510796723753	1.4034427598064934	0.8420043256764784	3.1029597342265554	15972.40017253411	146	1868.8383048012497	0.0
M14	29.134529147982065	1.9327111245639705	0.613652788942064	2.542745227277175	-12134.563722815552	95	328.35078458950136	nan
M15	329.5	1.9989066654839125	0.6933184861969208	1.9724031236356354	-2467.82524005852	76	40.64329586440422	0.0
